name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Tata Nexon,2012,463000.0,159805.0,Diesel,Dealer,Manual,Third Owner
Tata Nexon,2014,324000.0,160454.0,Diesel,Individual,Automatic,Second Owner
Hyundai i20,2023,923000.0,39097.0,Petrol,Trustmark Dealer,Manual,Second Owner
Mahindra XUV500,2014,458000.0,115578.0,Petrol,Dealer,Automatic,Third Owner
Hyundai Creta,2009,134000.0,182400.0,,Individual,Manual,First Owner
Maruti Swift,2013,333000.0,129262.0,Petrol,Dealer,Manual,First Owner
Tata Nexon,2017,614000.0,73861.0,Petrol,Individual,Manual,First Owner
Hyundai i20,2008,45000.0,97496.0,Petrol,Individual,Manual,First Owner
Honda Amaze,2015,514000.0,119195.0,Diesel,Dealer,Automatic,Second Owner
Mahindra XUV500,2022,1010000.0,42535.0,CNG,Individual,Manual,First Owner
Skoda Rapid,2010,297000.0,155158.0,Diesel,Dealer,Automatic,First Owner
Skoda Rapid,2018,683000.0,112208.0,Diesel,Individual,Manual,First Owner
Ford EcoSport,2014,357000.0,121894.0,CNG,Individual,Manual,Second Owner
Hyundai i20,2008,48000.0,163213.0,Diesel,Dealer,Manual,First Owner
Hyundai Creta,2024,1094000.0,16895.0,Diesel,Dealer,Manual,First Owner
Maruti Swift,2024,912000.0,23966.0,Petrol,Individual,Manual,First Owner
Honda City,2010,45000.0,146215.0,Petrol,Individual,Manual,First Owner
Renault Kwid,2023,1170000.0,19300.0,Diesel,Dealer,Automatic,First Owner
Skoda Rapid,2018,830000.0,88281.0,Diesel,Dealer,Automatic,First Owner
Toyota Fortuner,2011,347000.0,159856.0,Diesel,Individual,Manual,First Owner
Toyota Fortuner,2012,338000.0,138038.0,Petrol,Dealer,Manual,Second Owner
Maruti Baleno,2009,92000.0,245216.0,Diesel,Individual,Manual,Fourth & Above
Renault Kwid,2022,970000.0,29733.0,Petrol,Dealer,Manual,Second Owner
Maruti Swift,2019,689000.0,66771.0,Petrol,Dealer,Manual,First Owner
Honda Amaze,2023,1002000.0,14715.0,CNG,Trustmark Dealer,Automatic,First Owner
Toyota Fortuner,2011,,144927.0,Petrol,Individual,Manual,First Owner
Honda City,2012,192000.0,195143.0,Diesel,Individual,Manual,First Owner
Honda Amaze,2021,919000.0,51771.0,Petrol,Individual,Manual,Third Owner
Renault Kwid,2013,355000.0,160069.0,Petrol,Individual,Manual,First Owner
Mahindra XUV500,2019,713000.0,44397.0,Petrol,Dealer,Manual,Fourth & Above
Skoda Rapid,2019,685000.0,73296.0,Petrol,Individual,Automatic,First Owner
Volkswagen Polo,2008,45000.0,237209.0,Petrol,Dealer,Manual,Second Owner
Tata Tiago,2020,780000.0,80611.0,Petrol,Individual,Manual,First Owner
Mahindra XUV500,2010,113000.0,69465.0,CNG,Individual,Manual,First Owner
Renault Kwid,2017,578000.0,99375.0,Petrol,Dealer,Manual,First Owner
Mahindra XUV500,2010,66000.0,161871.0,Diesel,Individual,Manual,Third Owner
Tata Nexon,2008,45000.0,211441.0,Diesel,Individual,Manual,First Owner
Honda Amaze,2018,759000.0,48163.0,Diesel,Individual,Manual,Fourth & Above
Tata Nexon,2015,535000.0,103321.0,Petrol,Dealer,Manual,Third Owner
Tata Nexon,2012,200000.0,179326.0,Petrol,Individual,Manual,First Owner
Volkswagen Polo,2010,133000.0,153871.0,Petrol,Trustmark Dealer,Automatic,Second Owner
Renault Kwid,2024,1152000.0,24430.0,Petrol,Individual,Manual,Second Owner
Tata Nexon,2017,583000.0,101767.0,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Creta,2016,480000.0,155061.0,Petrol,Individual,Manual,Third Owner
Maruti Baleno,2020,871000.0,56368.0,Petrol,Individual,Manual,Second Owner
Tata Nexon,2021,956000.0,63296.0,Diesel,Individual,Automatic,First Owner
Honda Amaze,2008,157000.0,257938.0,Petrol,Individual,Manual,First Owner
Honda City,2008,45000.0,156199.0,Petrol,Individual,Automatic,First Owner
Skoda Rapid,2021,878000.0,84031.0,Petrol,Individual,Manual,First Owner
Tata Nexon,2018,696000.0,142658.0,Petrol,Dealer,Manual,Second Owner
Honda Amaze,2023,967000.0,44619.0,CNG,Individual,Manual,Third Owner
Tata Nexon,2015,550000.0,121362.0,Diesel,Individual,Manual,Third Owner
Renault Kwid,2021,862000.0,59980.0,CNG,Individual,Manual,First Owner
Tata Tiago,2019,830000.0,65618.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta,2011,120000.0,,,Individual,Manual,First Owner
Ford EcoSport,2014,443000.0,162527.0,Diesel,Individual,Automatic,First Owner
Mahindra XUV500,2018,715000.0,82278.0,Diesel,Individual,Manual,First Owner
Toyota Fortuner,2010,334000.0,149766.0,Diesel,Individual,Automatic,First Owner
Honda Amaze,2012,239000.0,110464.0,Petrol,Individual,Manual,First Owner
Mahindra XUV500,2019,822000.0,87662.0,Diesel,Dealer,Manual,First Owner
Renault Kwid,2012,206000.0,113268.0,Diesel,Individual,Manual,Third Owner
Toyota Innova,2015,415000.0,193134.0,Petrol,Individual,Manual,First Owner
Honda Amaze,2012,372000.0,145811.0,Petrol,Individual,Manual,Second Owner
Maruti Swift,2011,,139042.0,Petrol,Individual,Automatic,Third Owner
Tata Nexon,2013,374000.0,178858.0,Diesel,Dealer,Manual,First Owner
Tata Tiago,2018,568000.0,101222.0,Petrol,Trustmark Dealer,Manual,Second Owner
